Clubes;Títulos;Vices
 Real Madrid;14;3
 Milan;7;4
 Bayern de Munique;6;5
 Liverpool;6;4
 Barcelona;5;3
 Ajax;4;2
 Internazionale;3;3
 Manchester United;3;2
 Juventus;2;7
 Benfica;2;5
 Chelsea;2;1
 Nottingham Forest;2;0
 Porto;2;0
 Celtic;1;1
 Hamburgo;1;1
 Steaua Bucareste;1;1
 Olympique de Marseille;1;1
 Borussia Dortmund;1;1
 Manchester City;1;1
 Feyenoord;1;0
 Aston Villa;1;0
 PSV Eindhoven;1;0
 Estrela Vermelha;1;0
 Atlético de Madrid;0;3
 Stade de Reims;0;2
 Valencia;0;2
 Fiorentina;0;1
 Eintracht Frankfurt;0;1
 Partizan;0;1
 Panathinaikos;0;1
 Leeds United;0;1
 Saint Etienne;0;1
 Borussia Mönchengladbach;0;1
 Brugge;0;1
 Malmö;0;1
 Roma;0;1
 Sampdoria;0;1
 Bayer Leverkusen;0;1
 Monaco;0;1
 Arsenal;0;1
 Tottenham;0;1
 Paris Saint-Germain;0;1
